Z_tech_index,country,year,format,label,type,genre,style,id,barcode,master_id,master_url,uri,catno,title,thumb,cover_image,resource_url,community,format_quantity,formats,etag
1,UK,2003,"[""Vinyl"", ""12\"""", ""45 RPM""]","[""Big Bear""]",release,"[""Electronic""]","[""Dub"", ""Deep House"", ""Disco""]",52152,[],0,,/BJ-Duck-Big-Black-Wax/release/52152,BB009,BJ Duck - Big Black Wax,,,https://api.discogs.com/releases/52152,"{""want"": 102, ""have"": 164}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""45 RPM""]}]",IimnEIbFlb4HvFQVxl3Qvaa0KPM
2,France,1992,"[""Vinyl"", ""12\""""]","[""Barclay""]",release,"[""Electronic""]","[""Synth-pop""]",2664640,[],558421,https://api.discogs.com/masters/558421,/Zwap-Piche-Dj-Special-Remix/release/2664640,2266,Zwap - Piche Dj (Special Remix),,,https://api.discogs.com/releases/2664640,"{""want"": 7, ""have"": 12}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\""""]}]",h8a7eoB2l2tvZyAZFC9t2BQScCs
3,US,2003,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM""]","[""Empire State Records"", ""Empire State Records"", ""Eightballshop.com"", ""V.O.T.U. Records (Voice Of The Underground Records)""]",release,"[""Electronic""]","[""Progressive House"", ""Progressive Trance""]",231431,"[""(ASCAP)""]",0,,/Funky-Junction-Mowree-After-Dark/release/231431,ES 080,Funky Junction & Mowree - After Dark,,,https://api.discogs.com/releases/231431,"{""want"": 24, ""have"": 63}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""33 ⅓ RPM""]}]",NtvQGS2rxymrYKRvmrQAj9RzaEw
4,UK,2000,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM""]","[""Touchdown Recordings"", ""Touchdown Recordings Ltd."", ""Touchdown Recordings Ltd."", ""Abbey Road Studios""]",release,"[""Electronic""]","[""House""]",2034736,"[""5024545131260"", ""tdr017-a"", ""tdr017-b"", ""TDR 017 A-1-1-1"", ""TDR 017 AA-1-1-1"", ""Copyright Control""]",0,,/Soul-Creatures-Featuring-Gill-Hicks-Mystery-To-You/release/2034736,tdr017,Soul Creatures* Featuring Gill Hicks - Mystery To You,,,https://api.discogs.com/releases/2034736,"{""want"": 29, ""have"": 32}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""33 ⅓ RPM""]}]",mnB0qXPQULxjopvBHkxomPZ4hKM
5,US,1989,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM""]","[""Epic"", ""Epic"", ""CBS Schallplatten GmbH"", ""CBS Schallplatten GmbH"", ""Epic Records"", ""CBS Music Inc.""]",release,"[""Electronic""]","[""House""]",235857,"[""098707317019"", ""0 9870 - 73170 - 1"", ""ASCAP"", ""XSS 73170A"", ""XSS 73170B"", ""XSS 73170A-1A G1 (A) VLADO"", ""XSS 73170B-1A G1 (A) VLADO""]",62414,https://api.discogs.com/masters/62414,/release/235857-Culture-Beat-Featuring-Jo-Van-Nelsen-Cherry-Lips,49 73170,Culture Beat Featuring Jo Van Nelsen - Cherry Lips,,,https://api.discogs.com/releases/235857,"{""want"": 324, ""have"": 348}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""33 ⅓ RPM""]}]",zcq3MvfPlwD-oyZatZFG-Enw3pU
6,US,1989,"[""CD"", ""Maxi-Single"", ""Promo""]","[""Epic"", ""Epic Records"", ""CBS Schallplatten GmbH"", ""CBS Schallplatten GmbH"", ""Digital Audio Disc Corp."", ""DADC"", ""CBS Music Publishing""]",release,"[""Electronic""]","[""House"", ""Euro House""]",523034,"[""DISP-000500 1"", ""Made in USA-Digital Audio Disc Corp. ['D®' logo]""]",62414,https://api.discogs.com/masters/62414,/release/523034-Culture-Beat-Featuring-Jo-Van-Nelsen-Cherry-Lips,ESK 1999,Culture Beat Featuring Jo Van Nelsen - Cherry Lips,,,https://api.discogs.com/releases/523034,"{""want"": 129, ""have"": 42}",1,"[{""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Maxi-Single"", ""Promo""]}]",zcq3MvfPlwD-oyZatZFG-Enw3pU
7,Australia,1990,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM""]","[""Epic"", ""CBS Schallplatten GmbH""]",release,"[""Electronic""]","[""House"", ""Deep House""]",1786027,[],62414,https://api.discogs.com/masters/62414,/release/1786027-Culture-Beat-Featuring-Jo-Van-Nelsen-Cherry-Lips,655972 6,Culture Beat Featuring Jo Van Nelsen - Cherry Lips,,,https://api.discogs.com/releases/1786027,"{""want"": 111, ""have"": 27}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""33 ⅓ RPM""]}]",zcq3MvfPlwD-oyZatZFG-Enw3pU
8,Australia,1990,"[""Vinyl"", ""12\"""", ""Promo""]","[""CBS Records Australia Limited""]",release,"[""Electronic""]","[""House"", ""Deep House""]",1147808,[],62414,https://api.discogs.com/masters/62414,/release/1147808-Culture-Beat-Featuring-Jo-Van-Nelsen-Cherry-Lips,655972 6,Culture Beat Featuring Jo Van Nelsen - Cherry Lips,,,https://api.discogs.com/releases/1147808,"{""want"": 97, ""have"": 2}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""Promo""]}]",zcq3MvfPlwD-oyZatZFG-Enw3pU
9,Spain,1999,"[""Vinyl"", ""12\""""]","[""Le Club""]",release,"[""Electronic""]","[""Progressive House"", ""House"", ""Euro House""]",823423,[],266466,https://api.discogs.com/masters/266466,/release/823423-Diva-Surprise-Feat-Georgia-Jones-But-I-Still-Love-You,CLUB527,"Diva Surprise Feat. Georgia Jones - But, I Still Love You",,,https://api.discogs.com/releases/823423,"{""want"": 19, ""have"": 42}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\""""]}]",zhr1q78jGWGC3nAZ85E3uOpfbEE
10,France,1999,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM""]","[""Scorpio Music"", ""Walter Taieb, Inc."", ""Walter Taieb, Inc.""]",release,"[""Electronic""]","[""House""]",2666610,[],266466,https://api.discogs.com/masters/266466,/release/2666610-Diva-Surprise-Feat-Georgia-Jones-But-I-Still-Love-You,192 607-1,"Diva Surprise Feat Georgia Jones - But, I Still Love You",,,https://api.discogs.com/releases/2666610,"{""want"": 4, ""have"": 33}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""33 ⅓ RPM""]}]",zhr1q78jGWGC3nAZ85E3uOpfbEE
11,France,2000,"[""Vinyl"", ""12\"""", ""45 RPM"", ""Maxi-Single""]","[""Universal Licensing Music (ULM)"", ""Universal Licensing Music (ULM)"", ""Universal Licensing Music (ULM)"", ""DFI"", ""Translab""]",release,"[""Electronic""]","[""House""]",2074195,"[""601215851311"", ""6 01215 85131 1"", ""LC 07340"", ""= 158513 1 CHAB-TR NESS DFI- 00 7 0000274-A"", ""= 158513 1 CHAB-TR NESS 000274-B DFI-007"", ""SACEM""]",0,,/release/2074195-Ness-Jam-Box,158 513-1,Ness (4) - Jam Box,,,https://api.discogs.com/releases/2074195,"{""want"": 3, ""have"": 10}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""45 RPM"", ""Maxi-Single""]}]",q9nnFXQx7kAQuk4wDNZcDF6gQQU
12,Europe,1994,"[""CD"", ""Album"", ""Repress"", ""Stereo""]","[""Columbia"", ""Columbia"", ""Sony Music Entertainment Inc."", ""Sony Music Entertainment Inc."", ""Sony Music"", ""Gateway Mastering"", ""Sony Songs Inc."", ""Rye Songs"", ""Stone Jam Publishing"", ""Ness, Nitty & Capone, Inc."", ""Sony Music Publishing"", ""Wb Music Corp."", ""Irving Music, Inc."", ""Wallyworld Music"", ""EMI Virgin Music, Inc."", ""Red Instructional Music"", ""Robi-Rob Music"", ""ECAF Music"", ""Apple Publishing Ltd."", ""Right Track Recording"", ""The Plant Studios"", ""Record Plant, Los Angeles"", ""Axis Studios"", ""Electric Lady Studios"", ""House Of Sound"", ""Criteria Recording Studios"", ""Sony Music Studios, New York City"", ""Electric Lady Studios"", ""Sony Music"", ""DADC Austria""]",release,"[""Funk / Soul"", ""Pop""]","[""Contemporary R&B"", ""Ballad""]",439415,"[""5 099747 427022"", ""5099747427022"", ""LC 0162"", ""BIEM/SDRM"", ""CB 811"", ""CDC"", ""01-474270-10"", ""01-474270-10 83 B12 Sony Music"", ""01-474270-10 83 B10 Sony Music"", ""01-474270-10 94 A4 Sony Music"", ""01-474270-10 83 B1 Sony Music"", ""01-474270-10 63 B24 Sony Music"", ""01-474270-10 104 A4 Sony Music"", ""01-474270-10 94 A6 Sony Music"", ""01-474270-10 83 B3 Sony Music"", ""01-474270-10 94 A5 Sony Music"", ""01-474270-10 94 A2 Sony Music"", ""01-474270-10 104 A5 Sony Music"", ""01-474270-10 104 A6 Sony Music"", ""01-474270-10 83 A9 Sony Music"", ""01-474270-10 94 A7 Sony Music"", ""01-474270-10 94 A1 Sony Music"", ""01-474270-10 104 A8 Sony Music"", ""01-474270-10 83 B11 Sony Music"", ""01-474270-10 94 A3 Sony Music"", ""01-474270-10 113 A5 Sony Music"", ""01-474270-10 113 B7 Sony Music"", ""01-474270-10 83 B7 Sony Music"", ""01-474270-10 94 A12 Sony Music""]",79031,https://api.discogs.com/masters/79031,/release/439415-Mariah-Carey-Music-Box,COL 474270 2,Mariah Carey - Music Box,,,https://api.discogs.com/releases/439415,"{""want"": 84, ""have"": 3311}",1,"[{""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Album"", ""Repress"", ""Stereo""]}]",q9nnFXQx7kAQuk4wDNZcDF6gQQU
13,US,2010,"[""Box Set"", ""Deluxe Edition"", ""CD"", ""Album"", ""Remastered"", ""CD"", ""Compilation"", ""Remastered""]","[""Traffic Entertainment Group"", ""Elektra Entertainment Group"", ""Warner Music Group"", ""Elektra Entertainment Group"", ""Traffic Entertainment Group"", ""Rhino Entertainment Company"", ""Untouchables Entertainment"", ""Ness, Nitty & Capone Publishing"", ""Smooth Flowin Publishing"", ""Pete Rock Publishing"", ""Grand Puba Publishing"", ""Velle International"", ""Def Jam Publishing"", ""E - Z Duz-It Publishing"", ""Baby Pah Publishing"", ""Rob O Publishing"", ""Greene St. Recording"", ""The Hit Factory""]",release,"[""Hip Hop""]","[""Conscious""]",2455324,"[""8 29357 55152 8"", ""829357551528"", ""Z88461 | 45 TEG2 75515A-2 01"", ""ifpi L909"", ""IFPI 2U8J"", ""IFPI 2U8I"", ""Z88462 | 45 TEG2 75515B-2 01"", ""ifpi L909"", ""IFPI 2U8J"", ""IFPI 2U8I""]",39477,https://api.discogs.com/masters/39477,/release/2455324-Pete-Rock-CL-Smooth-Mecca-And-The-Soul-Brother,TEG-75515-2,Pete Rock & CL Smooth* - Mecca And The Soul Brother,,,https://api.discogs.com/releases/2455324,"{""want"": 348, ""have"": 483}",2,"[{""name"": ""Box Set"", ""qty"": ""1"", ""descriptions"": [""Deluxe Edition""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Album"", ""Remastered""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Compilation"", ""Remastered""]}]",q9nnFXQx7kAQuk4wDNZcDF6gQQU
14,UK,1995,"[""CD"", ""Compilation""]","[""Columbia"", ""Columbia"", ""Top Of The Pops"", ""Deconstruction"", ""Sony Music"", ""Sony Music Entertainment (UK) Ltd."", ""MCA Records Ltd."", ""Warner Music UK Ltd."", ""STIP"", ""BBC Worldwide Ltd."", ""BMG Records (UK) Ltd."", ""Warner Music UK Ltd."", ""Deceptive Records"", ""Virgin Records Ltd."", ""The Brilliant Recording Co. Ltd."", ""MCA Records Ltd."", ""Planet 3 Records Ltd."", ""Zomba Records Ltd."", ""Hot Music Holding B.V."", ""Passion Music Ltd."", ""Fresh Records"", ""Untouchables Entertainment, Inc."", ""Zomba Management"", ""Big Ocean Productions"", ""Wild Apache Prod. Inc."", ""Taxi Productions Inc."", ""Dashiki Productions, Inc."", ""Quickmania Inc."", ""Lee Marrow Production"", ""Z Management"", ""Crossover Productions"", ""New Jack Swing Productions"", ""Sony Music Entertainment (UK) Ltd."", ""Sony Music Entertainment (Canada) Inc."", ""Sony Music Productions Pty. Ltd."", ""MJJ Music"", ""BMG Records (UK) Ltd."", ""BMG Music"", ""Creation Records Ltd."", ""Warner Music UK Ltd."", ""R.E.M./Athens Ltd"", ""Indolent Records"", ""Deceptive Records Ltd."", ""Virgin Records Ltd."", ""The Brilliant Recording Co. Ltd."", ""Sony Music Entertainment Inc."", ""BMG Ariola Hamburg GmbH"", ""Logic Records Ltd."", ""Undiscovered Records"", ""Planet 3 Records Ltd."", ""Zomba Recording Corporation"", ""Sony Music Entertainment (Germany) GmbH"", ""Anzilotti & Münzing"", ""ROBYX SRL"", ""MCA Records, Inc."", ""Sing Sing"", ""BMG Ariola Media"", ""Passion Music Ltd."", ""Fresh Records"", ""Sony Music Entertainment (UK) Ltd."", ""British Broadcasting Corporation"", ""Sony Music"", ""Pillarview B.V."", ""EMI Virgin Music Ltd."", ""Copyright Control"", ""brown girl music"", ""The Night Rainbow Music"", ""Orisha Music"", ""Stone Jam Music Publishing"", ""Ness, Nitty & Capone"", ""Wb Music Corp."", ""BMG Music Publishing Ltd."", ""EMI Music Publishing Ltd."", ""Eaton Music Ltd."", ""Rhythm King Music"", ""Chrysalis Music Ltd."", ""Creation Songs Ltd."", ""Sony Music Publishing"", ""EMI Music"", ""Complete Music"", ""Michael Rutherford Ltd."", ""Hit & Run Music (Publishing) Ltd."", ""Plangent Visions Music"", ""Ferret Music Ltd"", ""Rising Sons Music Inc."", ""EMI Blackwood Music Inc."", ""First Avenue Music"", ""Mat Music"", ""EMI United Partnership"", ""Salaam Remi Music"", ""Pine Publishing"", ""Longitude Music"", ""Maxximum Songs"", ""MCA Music Ltd."", ""Warner Chappell Music Ltd."", ""Zomba Music Publishers Ltd."", ""So So Def Music"", ""EMI April Music Inc."", ""Air Control"", ""Perfect Music Ltd."", ""Diana Music & Vision"", ""Sun Of Sing Sing"", ""Crossover Productions"", ""Skratch Music Publishing"", ""EMI Tunes Ltd"", ""Fresh Songs"", ""Chrysalis Music"", ""Spacelab"", ""77 Studio"", ""Battery Studios, London"", ""Spacelab"", ""Boogie Park Studio"", ""Future Sound Laboratories"", ""Sony DADC""]",release,"[""Electronic"", ""Rock"", ""Pop""]","[""House"", ""Downtempo"", ""Euro House"", ""Synth-pop"", ""Britpop""]",676080,"[""5 099748 033826"", ""5099748033826"", ""LC 0162"", ""SACEM SDRM SACD SCDL"", ""BIEM MCPS"", ""ASCAP GEMA/BIEM BMI MCPS"", ""31-480338-10"", ""Sony Music 1-31-480338-10 35 A5"", ""IFPI L555"", ""none visible"", ""Sony Music 2-31-480338-10  24 A3"", ""IFPI L554"", ""IFPI 94B5"", ""Sony Music 1-31-480338-10 35 B6"", ""IFPI L555"", ""IFPI 946C"", ""Sony Music S3148033810-0202 53 A2"", ""IFPI L553"", ""IFPI 946C"", ""Sony Music 1-31-480338-10 35 B3"", ""IFPI L555"", ""none"", ""Sony Music 2-31-480338-10 14 B2"", ""IFPI L554"", ""none"", ""Sony Music 1-31-480338-10 35 A3"", ""IFPI L555"", ""none"", ""Sony Music 2-31-480338-10 14 A2"", ""IFPI L554"", ""none"", ""Sony Music 1-31-480338-10 35 B5"", ""IFPI L555"", ""none"", ""Sony Music 2-31-480338-10 14 B2"", ""IFPI L554"", ""none"", ""Sony Music 1-31-480338-10 35 B6"", ""IFPI L555"", ""IFPI 9412"", ""Sony Music S3148033810 0202 53 A2"", ""IFPI L553"", ""IFPI 94G4""]",3224485,https://api.discogs.com/masters/3224485,/release/676080-Various-Top-Of-The-Pops-1,MOOD CD40,Various - Top Of The Pops 1,,,https://api.discogs.com/releases/676080,"{""want"": 18, ""have"": 214}",2,"[{""name"": ""CD"", ""qty"": ""2"", ""descriptions"": [""Compilation""]}]",q9nnFXQx7kAQuk4wDNZcDF6gQQU
15,France,2006,"[""Box Set"", ""Limited Edition"", ""CD"", ""Compilation""]","[""Milan"", ""St. Moritz Vibes""]",release,"[""Electronic"", ""Hip Hop"", ""Jazz"", ""Rock"", ""Latin"", ""Funk / Soul""]","[""Folk Rock"", ""Latin"", ""Trip Hop"", ""Jazzdance"", ""Acid Jazz"", ""House"", ""Dub"", ""Soul"", ""Disco"", ""Samba"", ""Deep House"", ""Ambient"", ""Future Jazz"", ""Easy Listening"", ""Downtempo"", ""Latin Jazz""]",942659,[],0,,/release/942659-Various-St-Moritz-Vibes-At-Badrutts-Palace-Hotel,399 073-2,Various - St. Moritz Vibes At Badrutt's Palace Hotel,,,https://api.discogs.com/releases/942659,"{""want"": 63, ""have"": 17}",5,"[{""name"": ""Box Set"", ""qty"": ""1"", ""descriptions"": [""Limited Edition""]}, {""name"": ""CD"", ""qty"": ""5"", ""descriptions"": [""Compilation""]}]",q9nnFXQx7kAQuk4wDNZcDF6gQQU
16,Netherlands,2016,"[""File"", ""MP3"", ""Album""]","[""Not On Label (GilvaSunner Self-released)""]",release,"[""Electronic"", ""Rock"", ""Non-Music"", ""Pop""]","[""Parody"", ""Comedy"", ""Chiptune"", ""Experimental""]",8850889,[],1037125,https://api.discogs.com/masters/1037125,/GilvaSunner-GiIvaSunners-Highest-Quality-Video-Game-Rips-Volume-666-/release/8850889,none,GilvaSunner - GiIvaSunner's Highest Quality Video Game Rips: Volume 6​.​66 ,,,https://api.discogs.com/releases/8850889,"{""want"": 4, ""have"": 4}",0,"[{""name"": ""File"", ""qty"": ""331"", ""text"": ""320 kbps"", ""descriptions"": [""MP3"", ""Album""]}]",q9nnFXQx7kAQuk4wDNZcDF6gQQU
17,Netherlands,2016,"[""File"", ""FLAC"", ""Album""]","[""Not On Label (GilvaSunner Self-released)""]",release,"[""Electronic"", ""Rock"", ""Non-Music"", ""Pop""]","[""Parody"", ""Comedy"", ""Chiptune"", ""Experimental""]",8851947,[],1037125,https://api.discogs.com/masters/1037125,/GilvaSunner-GiIvaSunners-Highest-Quality-Video-Game-Rips-Volume-666-/release/8851947,none,GilvaSunner - GiIvaSunner's Highest Quality Video Game Rips: Volume 6​.​66 ,,,https://api.discogs.com/releases/8851947,"{""want"": 1, ""have"": 2}",0,"[{""name"": ""File"", ""qty"": ""331"", ""descriptions"": [""FLAC"", ""Album""]}]",q9nnFXQx7kAQuk4wDNZcDF6gQQU
18,UK,2000,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM""]","[""Touchdown Recordings"", ""Touchdown Recordings Ltd."", ""Touchdown Recordings Ltd."", ""Abbey Road Studios""]",release,"[""Electronic""]","[""House""]",2034736,"[""5024545131260"", ""tdr017-a"", ""tdr017-b"", ""TDR 017 A-1-1-1"", ""TDR 017 AA-1-1-1"", ""Copyright Control""]",0,,/Soul-Creatures-Featuring-Gill-Hicks-Mystery-To-You/release/2034736,tdr017,Soul Creatures* Featuring Gill Hicks - Mystery To You,,,https://api.discogs.com/releases/2034736,"{""want"": 29, ""have"": 32}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""33 ⅓ RPM""]}]",zKMibZoIY79E33GPYFu5Md5zP-U
19,US,1990,"[""Vinyl"", ""12\""""]","[""Relentless Recordings""]",release,"[""Electronic""]","[""House"", ""Synth-pop""]",2488086,[],0,,/release/2488086-Kira-Hot-Child-In-The-City,RR-1990-01,Kira (25) - Hot Child In The City,,,https://api.discogs.com/releases/2488086,"{""want"": 30, ""have"": 16}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\""""]}]",_RpOqnt6Fr4RhF0aUsZ8zpU8hYE
20,Germany,1997,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM""]","[""Respect! Records"", ""Respect!"", ""Respect!"", ""Edition Trancelate"", ""EMI Songs"", ""SST Brüggemann GmbH"", ""Discomania""]",release,"[""Electronic""]","[""House""]",721893,"[""RES 003 A SST 33 UPM"", ""RES 003 B SST 33 UPM"", ""LC 3581""]",257530,https://api.discogs.com/masters/257530,/Outreach-Cant-Stop-Loving/release/721893,RES003,Outreach - Can't Stop Loving,,,https://api.discogs.com/releases/721893,"{""want"": 50, ""have"": 52}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""33 ⅓ RPM""]}]",d_12qk56c6WoxP849b_35l-fVJs
21,Germany,1997,"[""CD"", ""Maxi-Single""]","[""Respect! Records"", ""Respect!"", ""Respect!"", ""Edition Trancelate"", ""EMI Songs""]",release,"[""Electronic""]","[""House""]",2147613,"[""4 014235 283714"", ""4014235283714""]",257530,https://api.discogs.com/masters/257530,/Outreach-Cant-Stop-Loving/release/2147613,RES-003cd,Outreach - Can't Stop Loving,,,https://api.discogs.com/releases/2147613,"{""want"": 4, ""have"": 1}",1,"[{""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Maxi-Single""]}]",d_12qk56c6WoxP849b_35l-fVJs
22,Italy,1991,"[""Vinyl"", ""12\"""", ""45 RPM"", ""Stereo""]","[""Bull & Butcher Recordings"", ""Clock Studio"", ""Clock Studio"", ""Clock Music S.R.L."", ""F.M.A. Edizioni S.r.l."", ""F.M.A. Edizioni S.r.l."", ""Clock Music S.R.L."", ""Clock Music S.R.L.""]",release,"[""Electronic""]","[""House"", ""Eurodance""]",1347254,"[""BB 2018 MX A"", ""BB 2018 MX B"", ""S.I.A.E.""]",0,,/release/1347254-Ava-Cherry-Fever,BB 2018 MX,Ava Cherry - Fever,,,https://api.discogs.com/releases/1347254,"{""want"": 30, ""have"": 40}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""45 RPM"", ""Stereo""]}]",wHKN7iCyM4aHtkQN5X4OPNdVCDE
23,UK,1992,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM"", ""Album"", ""Stereo""]","[""10 Records"", ""Ten Records Ltd."", ""Ten Records Ltd."", ""Peace Bisquit Productions"", ""Willy Trix Productions"", ""Zomba Music Publishers Ltd."", ""Virgin Music (Publishers) Ltd."", ""Rondor Music Ltd."", ""Copyright Control"", ""EMI Records""]",release,"[""Electronic""]","[""Techno"", ""House"", ""Deep House"", ""Progressive House""]",86215,"[""5 012982 440366"", ""5012982440366"", ""TENG 403 ●A-1U-1-2"", ""TENG 403 ●B-1U-1-1"", ""TENG 403C●-1U-1-1"", ""TENG 403 D-02-01-1 D""]",19932,https://api.discogs.com/masters/19932,/release/86215-System-7-Featuring-Ultra-Nat%C3%A9-Altitude,TENG 403,System 7 Featuring Ultra Naté - Altitude,,,https://api.discogs.com/releases/86215,"{""want"": 329, ""have"": 823}",2,"[{""name"": ""Vinyl"", ""qty"": ""2"", ""descriptions"": [""12\"""", ""33 ⅓ RPM"", ""Album"", ""Stereo""]}]",K0Otjig6ReVxAkTjeC0BCcWJsb8
24,UK,1992,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM"", ""Promo"", ""Stereo""]","[""10 Records"", ""Ten Records Ltd."", ""Ten Records Ltd."", ""Zomba Music Publishers Ltd."", ""Virgin Music (Publishers) Ltd."", ""Rondor Music"", ""Copyright Control"", ""Willy Trix Productions""]",release,"[""Electronic""]","[""Techno"", ""House"", ""Deep House"", ""Progressive House""]",650291,"[""TENG 403 A-1U-1-1"", ""TENG 403 B-1U-1-1"", ""TENG 403C -1U-1-1"", ""TENG 403 D-02-01-1""]",19932,https://api.discogs.com/masters/19932,/release/650291-System-7-Featuring-Ultra-Nat%C3%A9-Altitude,TENGDJ 403,System 7 Featuring Ultra Naté - Altitude,,,https://api.discogs.com/releases/650291,"{""want"": 112, ""have"": 188}",2,"[{""name"": ""Vinyl"", ""qty"": ""2"", ""descriptions"": [""12\"""", ""33 ⅓ RPM"", ""Promo"", ""Stereo""]}]",K0Otjig6ReVxAkTjeC0BCcWJsb8
25,UK,2005,"[""Vinyl"", ""12\""""]","[""Curious"", ""Curious Records Ltd""]",release,"[""Electronic""]","[""House"", ""Garage House""]",538153,[],257822,https://api.discogs.com/masters/257822,/release/538153-Sir-Piers-Ft-Monique-Bingham-Fools-Got-Nothin-Part-2-Reel-People-Remixes,CUR018,Sir Piers Ft. Monique Bingham - Fools Got Nothin' (Part 2) (Reel People Remixes),,,https://api.discogs.com/releases/538153,"{""want"": 26, ""have"": 56}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\""""]}]",jA0DYxZt-K73Lt7X_C66Q2Qe0fE
26,UK,2005,"[""Vinyl"", ""12\"""", ""Promo"", ""Test Pressing""]","[""Curious""]",release,"[""Electronic""]","[""House"", ""Garage House""]",1550938,[],257822,https://api.discogs.com/masters/257822,/release/1550938-Sir-Piers-Ft-Monique-Bingham-Fools-Got-Nothin-Part-2,CUR018,Sir Piers Ft. Monique Bingham - Fools Got Nothin' (Part 2),,,https://api.discogs.com/releases/1550938,"{""want"": 7, ""have"": 19}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""Promo"", ""Test Pressing""]}]",jA0DYxZt-K73Lt7X_C66Q2Qe0fE
27,UK,2005,"[""CDr"", ""Promo""]","[""Curious"", ""Curious Records Ltd"", ""Curious Records Ltd""]",release,"[""Electronic""]","[""House"", ""Garage House""]",20122609,[],257822,https://api.discogs.com/masters/257822,/release/20122609-Sir-Piers-Ft-Monique-Bingham-Fools-Got-Nothin,CUR017/CUR018,Sir Piers Ft Monique Bingham - Fools Got Nothin',,,https://api.discogs.com/releases/20122609,"{""want"": 4, ""have"": 9}",1,"[{""name"": ""CDr"", ""qty"": ""1"", ""descriptions"": [""Promo""]}]",jA0DYxZt-K73Lt7X_C66Q2Qe0fE
28,UK,2005,"[""CDr"", ""Mixed"", ""Promo"", ""Sampler""]","[""Curious"", ""Curious"", ""Curious""]",release,"[""Electronic""]","[""House"", ""Deep House"", ""Garage House""]",31644817,[],0,,/release/31644817-Sir-Piers-Summer-2005,none,Sir Piers - Summer 2005,,,https://api.discogs.com/releases/31644817,"{""want"": 0, ""have"": 1}",1,"[{""name"": ""CDr"", ""qty"": ""1"", ""descriptions"": [""Mixed"", ""Promo"", ""Sampler""]}]",jA0DYxZt-K73Lt7X_C66Q2Qe0fE
29,UK,2004,"[""Vinyl"", ""12\"""", ""45 RPM"", ""33 ⅓ RPM""]","[""Hairy Claw"", ""Wordandsound"", ""Sony Music Studios, London""]",release,"[""Electronic""]","[""House"", ""Disco""]",261568,"[""827170008762""]",0,,/Fabrizio-Mammarella-Panorama/release/261568,HC05,Fabrizio Mammarella - Panorama,,,https://api.discogs.com/releases/261568,"{""want"": 116, ""have"": 157}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""45 RPM"", ""33 ⅓ RPM""]}]",WZ4bYqgtSZDI9aFbfzHF9qzjGMs
30,Germany,2012,"[""CD"", ""Mixed""]","[""Ostgut Ton"", ""Panorama Bar Mix Series""]",release,"[""Electronic""]","[""House"", ""Deep House"", ""Tech House""]",3736749,[],465637,https://api.discogs.com/masters/465637,/release/3736749-Nick-H%C3%B6ppner-Panorama-Bar-04,OSTGUTCD21,Nick Höppner - Panorama Bar 04,,,https://api.discogs.com/releases/3736749,"{""want"": 78, ""have"": 132}",1,"[{""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Mixed""]}]",WZ4bYqgtSZDI9aFbfzHF9qzjGMs
