id_main,uri,title,description,duration,embed
100030,https://www.youtube.com/watch?v=3R77bJ0Y_Qw,Tunes In A Bag - Rockin The Best [GB 002],"Discogs: https://www.discogs.com/release/100030-2-Tunes-In-A-Bag-Battle-Of-The-Beats-Rockin-The-Best

Artist: Tunes In A Bag
Track: Rockin The Best
EP Title: Battle Of The Beats / Rockin' The Best
Label: GB Records
Catalog #: GB 002
Genre: House, A",360,1
100030,https://www.youtube.com/watch?v=NXfwqavoSgA,BILLY NO-CLIPS,"When smug Billy No-Clips appears from the digging portal holding a blind record, it means we’ve searched every corner of the internet and couldn’t find any audio online. This video can be used by any online digging platform on its release page to signify ",317,1
100036,https://www.youtube.com/watch?v=PWbHvJM5FrA,Phunky Torso - You and I,"Last one from the Ep to uncover!
Here you go
Triumph Records
Year: 93'
Phunky Torsoo",390,1
100036,https://www.youtube.com/watch?v=3M-yCcNOKKM,Phunky Torso - Innocent [TRY 16],"128 kbps

https://www.discogs.com/release/12959234-Phunky-Torso-Innocent-Desire

For copyright issues, please contact sonicmartingale@gmail.com

This channel is intended to promote artists and music only.

Where I come from there aren't any record",350,1
100036,https://www.youtube.com/watch?v=fbvG84emiSs,Phunky Torso - Desire [TRY016],https://www.discogs.com/release/12959234-Phunky-Torso-Innocent-Desire?srsltid=AfmBOoqNY08azea3AqdIEctKCGpAfhVXP4ggxK092ZiYJTZk4jTkDljK,403,1
100036,https://www.youtube.com/watch?v=PWbHvJM5FrA,Phunky Torso - You and I,"Last one from the Ep to uncover!
Here you go
Triumph Records
Year: 93'
Phunky Torsoo",390,1
100036,https://www.youtube.com/watch?v=3M-yCcNOKKM,Phunky Torso - Innocent [TRY 16],"128 kbps

https://www.discogs.com/release/12959234-Phunky-Torso-Innocent-Desire

For copyright issues, please contact sonicmartingale@gmail.com

This channel is intended to promote artists and music only.

Where I come from there aren't any record",350,1
100036,https://www.youtube.com/watch?v=fbvG84emiSs,Phunky Torso - Desire [TRY016],https://www.discogs.com/release/12959234-Phunky-Torso-Innocent-Desire?srsltid=AfmBOoqNY08azea3AqdIEctKCGpAfhVXP4ggxK092ZiYJTZk4jTkDljK,403,1
100036,https://www.youtube.com/watch?v=1ZUJo_jWx04,Phunky Torso - Power [TRY 16],"Discogs: https://www.discogs.com/release/100036-Phunky-Torso-Innocent-Desire

Artist: Phunky Torso
Track: Power
EP Title: Innocent/Desire
Label: Triumph Records
Catalog #: TRY 16
Genre: Progressive House, Techno
Year: 1993

Just here to share ou",550,1
100036,https://www.youtube.com/watch?v=3M-yCcNOKKM,Phunky Torso - Innocent [TRY 16],"128 kbps

https://www.discogs.com/release/12959234-Phunky-Torso-Innocent-Desire

For copyright issues, please contact sonicmartingale@gmail.com

This channel is intended to promote artists and music only.

Where I come from there aren't any record",350,1
100036,https://www.youtube.com/watch?v=AysUmfwfOWQ,Phunky Torso - Desire [TRIX004],"—



➤ Grab your copy: https://shorturl.at/vKEVD",255,1
100036,https://www.youtube.com/watch?v=PWbHvJM5FrA,Phunky Torso - You and I,"Last one from the Ep to uncover!
Here you go
Triumph Records
Year: 93'
Phunky Torsoo",390,1
100036,https://www.youtube.com/watch?v=1ZUJo_jWx04,Phunky Torso - Power [TRY 16],"Discogs: https://www.discogs.com/release/100036-Phunky-Torso-Innocent-Desire

Artist: Phunky Torso
Track: Power
EP Title: Innocent/Desire
Label: Triumph Records
Catalog #: TRY 16
Genre: Progressive House, Techno
Year: 1993

Just here to share ou",550,1
